transaction_id,items
1,"Introduction to Data Science,Python for Data Analysis"
2,"Hands-On Machine Learning,Deep Learning"
3,"Introduction to Data Science,Practical Statistics for Data Scientists,Python for Data Analysis"
4,"Recommender Systems Handbook,Hands-On Machine Learning"
5,"Deep Learning,Pattern Recognition and ML"
6,"Introduction to Algorithms,Pattern Recognition and ML"
7,"Data Visualization with Python,Introduction to Data Science"
8,"Marketing Analytics,Introduction to Data Science"
9,"Recommender Systems Handbook,Practical Statistics for Data Scientists"
10,"Hands-On Machine Learning,Recommender Systems Handbook"
11,"Pattern Recognition and ML,Deep Learning,Introduction to Algorithms"
12,"Python for Data Analysis,Data Visualization with Python,Marketing Analytics"
13,"Introduction to Data Science,Pattern Recognition and ML,Hands-On Machine Learning"
14,"Recommender Systems Handbook,Marketing Analytics,Data Visualization with Python"
15,"Practical Statistics for Data Scientists,Pattern Recognition and ML,Deep Learning"
16,"Introduction to Algorithms,Data Visualization with Python,Python for Data Analysis"
17,"Hands-On Machine Learning,Introduction to Data Science,Recommender Systems Handbook"
18,"Marketing Analytics,Practical Statistics for Data Scientists,Python for Data Analysis"
19,"Pattern Recognition and ML,Hands-On Machine Learning,Deep Learning"
20,"Introduction to Data Science,Python for Data Analysis,Recommender Systems Handbook"
21,"The Art of Computer Programming,Introduction to Algorithms,Pattern Recognition and ML"
22,"Machine Learning Yearning,Hands-On Machine Learning,Deep Learning"
23,"Deep Reinforcement Learning,Deep Learning,Recommender Systems Handbook"
24,"Data Science for Business,Practical Statistics for Data Scientists,Marketing Analytics"
25,"Python Cookbook,Python for Data Analysis,Introduction to Data Science"
26,"The Art of Computer Programming,Machine Learning Yearning,Deep Reinforcement Learning"
27,"Data Science for Business,Python Cookbook,Marketing Analytics"
28,"Machine Learning Yearning,Pattern Recognition and ML,Deep Learning"
29,"Python Cookbook,Hands-On Machine Learning,Data Visualization with Python"
30,"Deep Reinforcement Learning,The Art of Computer Programming,Introduction to Algorithms"
